t,ages,vacc_status,symptomatic,asymptomatic,hospitalised,dead
3,15-19,unvaccinated,30.5,1371.5,0.5,0.0
3,15-19,old_vaccine,0.0,0.0,0.0,0.0
3,15-19,new_vaccine,0.0,0.0,0.0,0.0
3,20-24,unvaccinated,97.0,1452.0,1.0,0.0
3,20-24,old_vaccine,0.0,0.0,0.0,0.0
3,20-24,new_vaccine,0.0,0.0,0.0,0.0
3,25-29,unvaccinated,167.5,1536.5,1.5,0.0
3,25-29,old_vaccine,0.0,0.0,0.0,0.0
3,25-29,new_vaccine,0.0,0.0,0.0,0.0
3,30-34,unvaccinated,186.0,1574.5,0.5,0.0
3,30-34,old_vaccine,0.0,0.0,0.0,0.0
3,30-34,new_vaccine,0.0,0.0,0.0,0.0
3,35-39,unvaccinated,154.0,1552.5,1.0,0.0
3,35-39,old_vaccine,0.0,0.0,0.0,0.0
3,35-39,new_vaccine,0.0,0.0,0.0,0.0
3,40-44,unvaccinated,166.5,1467.0,2.0,0.0
3,40-44,old_vaccine,0.0,0.0,0.0,0.0
3,40-44,new_vaccine,0.0,0.0,0.0,0.0
3,45-49,unvaccinated,193.0,1399.0,4.0,0.0
3,45-49,old_vaccine,0.0,0.0,0.0,0.0
3,45-49,new_vaccine,0.0,0.0,0.0,0.0
3,50-54,unvaccinated,346.0,1431.5,16.5,0.0
3,50-54,old_vaccine,0.0,0.0,0.0,0.0
3,50-54,new_vaccine,0.0,0.0,0.0,0.0
3,55-59,unvaccinated,444.0,1292.0,19.0,0.0
3,55-59,old_vaccine,0.0,0.0,0.0,0.0
3,55-59,new_vaccine,0.0,0.0,0.0,0.0
3,60-64,unvaccinated,413.0,1055.0,41.0,0.0
3,60-64,old_vaccine,0.0,0.0,0.0,0.0
3,60-64,new_vaccine,0.0,0.0,0.0,0.0
3,65-69,unvaccinated,697.5,586.0,96.5,0.0
3,65-69,old_vaccine,0.0,0.0,0.0,0.0
3,65-69,new_vaccine,0.0,0.0,0.0,0.0
3,70-74,unvaccinated,790.0,443.0,156.0,0.0
3,70-74,old_vaccine,0.0,0.0,0.0,0.0
3,70-74,new_vaccine,0.0,0.0,0.0,0.0
3,75+,unvaccinated,1428.5,734.5,526.5,0.0
3,75+,old_vaccine,0.0,0.0,0.0,0.0
3,75+,new_vaccine,0.0,0.0,0.0,0.0
4,0-4,unvaccinated,106.0,1545.5,2.0,0.0
4,0-4,old_vaccine,0.0,0.0,0.0,0.0
4,0-4,new_vaccine,0.0,0.0,0.0,0.0
4,5-9,unvaccinated,27.5,1742.0,0.0,0.0
4,5-9,old_vaccine,0.0,0.0,0.0,0.0
4,5-9,new_vaccine,0.0,0.0,0.0,0.0
4,10-14,unvaccinated,45.5,1632.0,0.0,0.0
4,10-14,old_vaccine,0.0,0.0,0.0,0.0
4,10-14,new_vaccine,0.0,0.0,0.0,0.0
4,15-19,unvaccinated,35.5,1533.0,0.5,0.0
4,15-19,old_vaccine,0.0,0.0,0.0,0.0
4,15-19,new_vaccine,0.0,0.0,0.0,0.0
4,20-24,unvaccinated,106.0,1615.5,1.0,0.0
4,20-24,old_vaccine,0.0,0.0,0.0,0.0
4,20-24,new_vaccine,0.0,0.0,0.0,0.0
4,25-29,unvaccinated,185.5,1707.0,2.0,0.0
4,25-29,old_vaccine,0.0,0.0,0.0,0.0
4,25-29,new_vaccine,0.0,0.0,0.0,0.0
4,30-34,unvaccinated,205.5,1758.0,0.5,0.0
4,30-34,old_vaccine,0.0,0.0,0.0,0.0
4,30-34,new_vaccine,0.0,0.0,0.0,0.0
4,35-39,unvaccinated,177.0,1732.5,1.0,0.0
4,35-39,old_vaccine,0.0,0.0,0.0,0.0
4,35-39,new_vaccine,0.0,0.0,0.0,0.0
