t,vacc_status,symptomatic,asymptomatic,hospitalised,dead
47,unvaccinated,0.8660254037844386,2.7838821814150108,0.0,0.0
47,vaccinated,0.7071067811865476,1.118033988749895,0.0,0.0
48,unvaccinated,1.3228756555322954,3.968626966596886,0.0,0.0
48,vaccinated,0.5,1.8708286933869707,0.0,0.0
49,unvaccinated,0.7071067811865476,4.272001872658765,0.0,0.0
49,vaccinated,0.0,1.5,0.0,0.0
50,unvaccinated,0.7071067811865476,2.7838821814150108,0.0,0.0
50,vaccinated,1.118033988749895,1.118033988749895,0.0,0.0
51,unvaccinated,1.118033988749895,3.7416573867739413,0.0,0.0
51,vaccinated,1.0,0.8660254037844386,0.0,0.0
52,unvaccinated,1.0,5.522680508593631,0.0,0.0
52,vaccinated,0.8660254037844386,1.3228756555322954,0.0,0.0
53,unvaccinated,1.0,3.640054944640259,0.0,0.0
53,vaccinated,0.5,1.224744871391589,0.0,0.0
54,unvaccinated,1.118033988749895,3.391164991562634,0.0,0.0
54,vaccinated,1.224744871391589,0.8660254037844386,0.0,0.0
55,unvaccinated,0.5,2.5495097567963922,0.0,0.0
55,vaccinated,0.5,2.0615528128088303,0.0,0.0
56,unvaccinated,0.7071067811865476,2.449489742783178,0.0,0.0
56,vaccinated,0.0,1.224744871391589,0.0,0.0
57,unvaccinated,0.5,2.598076211353316,0.0,0.0
57,vaccinated,0.7071067811865476,1.4142135623730951,0.0,0.0
58,unvaccinated,0.8660254037844386,3.1622776601683795,0.0,0.0
58,vaccinated,0.7071067811865476,3.2015621187164243,0.0,0.0
59,unvaccinated,1.4142135623730951,2.345207879911715,0.0,0.0
59,vaccinated,0.8660254037844386,1.5,0.0,0.0
60,unvaccinated,0.0,3.122498999199199,0.0,0.0
60,vaccinated,0.5,1.5,0.0,0.0
61,unvaccinated,1.0,2.598076211353316,0.0,0.0
61,vaccinated,0.8660254037844386,1.3228756555322954,0.0,0.0
62,unvaccinated,1.4142135623730951,3.0,0.0,0.0
62,vaccinated,1.0,2.345207879911715,0.0,0.0
63,unvaccinated,1.224744871391589,3.3166247903554,0.0,0.0
63,vaccinated,1.118033988749895,1.7320508075688772,0.0,0.0
64,unvaccinated,0.5,2.5,0.0,0.0
64,vaccinated,1.118033988749895,2.179449471770337,0.0,0.0
65,unvaccinated,1.224744871391589,2.5,0.0,0.0
65,vaccinated,1.118033988749895,1.8027756377319946,0.0,0.0
66,unvaccinated,0.8660254037844386,2.3979157616563596,0.0,0.0
66,vaccinated,0.7071067811865476,2.0615528128088303,0.5,0.0
67,unvaccinated,1.0,1.6583123951777,0.0,0.0
67,vaccinated,0.5,2.0,0.0,0.0
68,unvaccinated,1.118033988749895,2.5,0.0,0.0
68,vaccinated,1.224744871391589,1.9364916731037085,0.0,0.0
69,unvaccinated,1.0,2.598076211353316,0.0,0.0
69,vaccinated,1.118033988749895,1.4142135623730951,0.0,0.0
70,unvaccinated,0.0,2.449489742783178,0.0,0.0
70,vaccinated,2.3979157616563596,1.6583123951777,0.0,0.0
71,unvaccinated,0.8660254037844386,1.6583123951777,0.0,0.0
71,vaccinated,0.8660254037844386,2.8284271247461903,0.0,0.0
72,unvaccinated,0.8660254037844386,1.4142135623730951,0.0,0.0
72,vaccinated,1.3228756555322954,2.598076211353316,0.0,0.0
73,unvaccinated,1.3228756555322954,2.3979157616563596,0.0,0.0
73,vaccinated,1.9364916731037085,1.5,0.0,0.0
74,unvaccinated,0.8660254037844386,1.9364916731037085,0.0,0.0
74,vaccinated,1.3228756555322954,3.840572873934304,0.0,0.0
75,unvaccinated,0.7071067811865476,1.5,0.0,0.0
75,vaccinated,0.7071067811865476,1.3228756555322954,0.0,0.0
76,unvaccinated,0.7071067811865476,2.6457513110645907,0.0,0.0
76,vaccinated,1.4142135623730951,2.9154759474226504,0.0,0.0
77,unvaccinated,0.7071067811865476,3.122498999199199,0.0,0.0
77,vaccinated,1.3228756555322954,2.598076211353316,0.0,0.0
78,unvaccinated,0.5,1.8708286933869707,0.0,0.0
78,vaccinated,1.0,2.23606797749979,0.0,0.0
79,unvaccinated,0.5,1.5811388300841898,0.0,0.0
79,vaccinated,1.5811388300841898,2.0615528128088303,0.0,0.0
80,unvaccinated,1.224744871391589,2.179449471770337,0.0,0.0
80,vaccinated,0.8660254037844386,2.6457513110645907,0.0,0.0
81,unvaccinated,0.0,2.29128784747792,0.0,0.0
81,vaccinated,1.118033988749895,2.23606797749979,0.0,0.0
82,unvaccinated,1.118033988749895,1.8027756377319946,0.0,0.0
82,vaccinated,1.224744871391589,1.6583123951777,0.0,0.0
83,unvaccinated,0.7071067811865476,1.4142135623730951,0.0,0.0
83,vaccinated,1.9364916731037085,2.8284271247461903,0.0,0.0
84,unvaccinated,0.5,1.5811388300841898,0.0,0.0
84,vaccinated,1.224744871391589,2.9154759474226504,0.0,0.0
85,unvaccinated,0.7071067811865476,2.0,0.0,0.0
85,vaccinated,1.224744871391589,1.3228756555322954,0.0,0.0
86,unvaccinated,0.5,1.5811388300841898,0.0,0.0
86,vaccinated,1.6583123951777,2.0615528128088303,0.0,0.0
87,unvaccinated,0.5,1.224744871391589,0.0,0.0
87,vaccinated,2.3979157616563596,2.0,0.0,0.0
88,unvaccinated,1.0,1.4142135623730951,0.0,0.0
88,vaccinated,1.7320508075688772,2.179449471770337,0.0,0.0
89,unvaccinated,1.224744871391589,2.8722813232690143,0.0,0.0
89,vaccinated,1.118033988749895,1.8708286933869707,0.0,0.0
90,unvaccinated,0.0,1.5,0.0,0.0
90,vaccinated,0.5,1.5811388300841898,0.0,0.0
91,unvaccinated,0.5,2.0,0.0,0.0
91,vaccinated,0.7071067811865476,1.8708286933869707,0.0,0.0
92,unvaccinated,0.7071067811865476,1.7320508075688772,0.0,0.0
92,vaccinated,1.118033988749895,2.9154759474226504,0.0,0.0
93,unvaccinated,1.4142135623730951,1.8708286933869707,0.0,0.0
93,vaccinated,0.7071067811865476,2.8722813232690143,0.0,0.0
94,unvaccinated,0.8660254037844386,1.6583123951777,0.0,0.0
94,vaccinated,1.0,2.23606797749979,0.0,0.0
95,unvaccinated,0.5,1.224744871391589,0.0,0.0
95,vaccinated,1.224744871391589,2.8284271247461903,0.0,0.0
96,unvaccinated,0.5,1.5811388300841898,0.0,0.0
96,vaccinated,1.224744871391589,1.7320508075688772,0.0,0.0
97,unvaccinated,1.0,1.8708286933869707,0.0,0.0
97,vaccinated,1.118033988749895,2.6457513110645907,0.0,0.0
98,unvaccinated,1.0,2.29128784747792,0.0,0.0
98,vaccinated,1.5811388300841898,1.5811388300841898,0.0,0.0
99,unvaccinated,0.8660254037844386,1.3228756555322954,0.0,0.0
99,vaccinated,1.4142135623730951,2.1213203435596424,0.0,0.0
100,unvaccinated,0.7071067811865476,1.8708286933869707,0.0,0.0
100,vaccinated,1.224744871391589,2.1213203435596424,0.0,0.0
101,unvaccinated,1.0,2.3979157616563596,0.5,0.0
101,vaccinated,1.224744871391589,2.0615528128088303,0.0,0.0
102,unvaccinated,1.0,1.224744871391589,0.0,0.5
102,vaccinated,0.8660254037844386,2.7838821814150108,0.0,0.0
103,unvaccinated,0.5,2.6457513110645907,0.0,0.0
103,vaccinated,1.4142135623730951,2.0,0.0,0.0
104,unvaccinated,0.7071067811865476,1.0,0.0,0.0
104,vaccinated,1.5811388300841898,2.23606797749979,0.0,0.0
105,unvaccinated,1.0,2.1213203435596424,0.0,0.0
105,vaccinated,1.9364916731037085,1.5811388300841898,0.0,0.0
106,unvaccinated,0.5,2.23606797749979,0.0,0.0
106,vaccinated,0.8660254037844386,2.958039891549808,0.0,0.0
