age_group,YLL
0-4,79.55832350159861
5-9,75.26007521687697
10-14,70.28163085283481
15-19,65.30974166514848
20-24,60.380885591749774
25-29,55.501903685240435
30-34,50.68405719481958
35-39,45.916014525575235
40-44,41.19604530262781
45-49,36.56731597467612
50-54,32.056497586722685
55-59,27.662696739428977
60-64,23.388312326525412
65-69,19.311139046957127
70-74,15.5007414216063
75+,7.853840586915487
